Amazonian Grosbeak,Cyanoloxia rothschildii
Amazonian Inezia,Inezia subflava
Amazonian Motmot,Momotus momota
Amazonian Pygmy Owl,Glaucidium hardyi
Amazonian Scrub Flycatcher,Sublegatus obscurior
Amazonian Streaked Antwren,Myrmotherula multostriata
Amazonian Trogon,Trogon ramonianus
Amazonian Umbrellabird,Cephalopterus ornatus
Amber Mountain Rock Thrush,Monticola erythronotus
Ambon White-eye,Zosterops kuehni
Amboyna Cuckoo-Dove,Macropygia amboinensis
Ameline Swiftlet,Aerodramus amelis
American Avocet,Recurvirostra americana
American Barn Owl,Tyto furcata
American Bittern,Botaurus lentiginosus
American Black Duck,Anas rubripes
American Black Swift,Cypseloides niger
American Bushtit,Psaltriparus minimus
American Cliff Swallow,Petrochelidon pyrrhonota
American Coot,Fulica americana
American Crow,Corvus brachyrhynchos
American Dipper,Cinclus mexicanus
American Dusky Flycatcher,Empidonax oberholseri
American Flamingo,Phoenicopterus ruber
American Golden Plover,Pluvialis dominica
American Goldfinch,Spinus tristis
American Goshawk,Accipiter atricapillus
American Grey Flycatcher,Empidonax wrightii
American Herring Gull,Larus smithsonianus
American Kestrel,Falco sparverius
American Oystercatcher,Haematopus palliatus
American Pygmy Kingfisher,Chloroceryle aenea
American Redstart,Setophaga ruticilla
American Robin,Turdus migratorius
American Three-toed Woodpecker,Picoides dorsalis
American Tree Sparrow,Spizelloides arborea
American White Ibis,Eudocimus albus
American White Pelican,Pelecanus erythrorhynchos
American Wigeon,Mareca americana
American Woodcock,Scolopax minor
American Yellow Warbler,Setophaga aestiva
Amethyst Brown Dove,Phapitreron amethystinus
Amethyst Sunbird,Chalcomitra amethystina
Amethyst Woodstar,Calliphlox amethystina
Amethyst-throated Mountaingem,Lampornis amethystinus
Amethyst-throated Sunangel,Heliangelus amethysticollis
Ampay Tapaculo,Scytalopus whitneyi
Amsterdam Albatross,Diomedea amsterdamensis
Amsterdam Wigeon,Mareca marecula
Amur Falcon,Falco amurensis
Amur Paradise Flycatcher,Terpsiphone incei
Amur Stonechat,Saxicola stejnegeri
Anambra Waxbill,Estrilda poliopareia
Ancash Tapaculo,Scytalopus affinis
Anchieta's Barbet,Stactolaema anchietae
Anchieta's Sunbird,Anthreptes anchietae
Ancient Antwren,Herpsilochmus gentryi
Ancient Murrelet,Synthliboramphus antiquus
Andaman Boobook,Ninox affinis
Andaman Bulbul,Brachypodius fuscoflavescens
Andaman Coucal,Centropus andamanensis
Andaman Crake,Rallina canningi
Andaman Cuckoo-Dove,Macropygia rufipennis
Andaman Cuckooshrike,Coracina dobsoni
Andaman Drongo,Dicrurus andamanensis
Andaman Flowerpecker,Dicaeum virescens
Andaman Green Pigeon,Treron chloropterus
Andaman Masked Owl,Tyto deroepstorffi
Andaman Nightjar,Caprimulgus andamanicus
Andaman Scops Owl,Otus balli
Andaman Serpent Eagle,Spilornis elgini
Andaman Shama,Copsychus albiventris
Andaman Teal,Anas albogularis
Andaman Treepie,Dendrocitta bayleii
Andaman Wood Pigeon,Columba palumboides
Andaman Woodpecker,Dryocopus hodgei
Andean Avocet,Recurvirostra andina
Andean Cock-of-the-rock,Rupicola peruvianus
Andean Condor,Vultur gryphus
Andean Coot,Fulica ardesiaca
Andean Duck,Oxyura ferruginea
Andean Emerald,Uranomitra franciae
Andean Flamingo,Phoenicoparrus andinus
Andean Flicker,Colaptes rupicola
Andean Goose,Chloephaga melanoptera
Andean Guan,Penelope montagnii
Andean Gull,Chroicocephalus serranus
Andean Hillstar,Oreotrochilus estella
Andean Ibis,Theristicus branickii
Andean Laniisoma,Laniisoma buckleyi
Andean Lapwing,Vanellus resplendens
Andean Motmot,Momotus aequatorialis
Andean Negrito,Lessonia oreas
Andean Parakeet,Bolborhynchus orbygnesius
Andean Potoo,Nyctibius maculosus
Andean Pygmy Owl,Glaucidium jardinii
Andean Siskin,Spinus spinescens
Andean Slaty Thrush,Turdus nigriceps
Andean Solitaire,Myadestes ralloides
Andean Swallow,Orochelidon andecola
Andean Swift,Aeronautes andecolus
Andean Teal,Anas andium
Andean Tinamou,Nothoprocta pentlandii
Andean Tit-Spinetail,Leptasthenura andicola
Angola Batis,Batis minulla
Angola Cave Chat,Xenocopsychus ansorgei
Angola Lark,Mirafra angolensis
Angola Slaty Flycatcher,Melaenornis brunneus
Angola Swallow,Hirundo angolensis
Angola Waxbill,Coccopygia bocagei
Anhinga,Anhinga anhinga
Anianiau,Magumma parva
Anjouan Brush Warbler,Nesillas longicaudata
Anjouan Scops Owl,Otus capnodes
Anjouan Sunbird,Cinnyris comorensis
Anjouan White-eye,Zosterops anjuanensis
Ankober Serin,Crithagra ankoberensis
Anna's Hummingbird,Calypte anna
Annam Limestone Babbler,Gypsophila annamensis
Annam Prinia,Prinia rocki
Annobon Paradise Flycatcher,Terpsiphone smithii
Annobon Scops Owl,Otus feae
Annobon White-eye,Zosterops griseovirescens
Ansorge's Greenbul,Eurillas ansorgei
Ant-eating Chat,Myrmecocichla formicivora
Antarctic Petrel,Thalassoica antarctica
Antarctic Prion,Pachyptila desolata
Antarctic Shag,Leucocarbo bransfieldensis
Antarctic Tern,Sterna vittata
Anteater Chat,Myrmecocichla aethiops
Anthony's Nightjar,Nyctidromus anthonyi
Antillean Crested Hummingbird,Orthorhyncus cristatus
Antillean Nighthawk,Chordeiles gundlachii
Antillean Palm Swift,Tachornis phoenicobia
Antillean Piculet,Nesoctites micromegas
Antillean Siskin,Spinus dominicensis
Antioquia Bristle Tyrant,Pogonotriccus lanyoni
Antioquia Brushfinch,Atlapetes blancae
Antioquia Wren,Thryophilus sernai
Antipodean Albatross,Diomedea antipodensis
Antipodes Parakeet,Cyanoramphus unicolor
Apapane,Himatione sanguinea
Apical Flycatcher,Myiarchus apicalis
Aplomado Falcon,Falco femoralis
Apo Myna,Goodfellowia miranda
Apo Sunbird,Aethopyga boltoni
Apolinar's Wren,Cistothorus apolinari
Apostlebird,Struthidea cinerea
Appert's Tetraka,Xanthomixis apperti
Apricot-breasted Sunbird,Cinnyris buettikoferi
Apurimac Brushfinch,Atlapetes forbesi
Apurimac Spinetail,Synallaxis courseni
Aquatic Warbler,Acrocephalus paludicola
Arabian Babbler,Argya squamiceps
Arabian Bustard,Ardeotis arabs
Arabian Eagle-Owl,Bubo milesi
Arabian Golden Sparrow,Passer euchlorus
Arabian Golden-winged Grosbeak,Rhynchostruthus percivali
Arabian Green Bee-eater,Merops cyanophrys
Arabian Lark,Eremalauda eremodites
Arabian Partridge,Alectoris melanocephala
Arabian Scops Owl,Otus pamelae
Arabian Serin,Crithagra rothschildi
Arabian Sunbird,Cinnyris hellmayri
Arabian Warbler,Curruca leucomelaena
Arabian Waxbill,Estrilda rufibarba
Arabian Wheatear,Oenanthe lugentoides
Arabian Woodpecker,Dendrocoptes dorae
Arafura Fantail,Rhipidura dryas
Arafura Shrikethrush,Colluricincla megarhyncha
Araguaia Spinetail,Synallaxis simoni
Araripe Manakin,Chiroxiphia bokermanni
Araucaria Tit-Spinetail,Leptasthenura setaria
Archbold's Bowerbird,Archboldia papuensis
Archbold's Newtonia,Newtonia archboldi
Archbold's Nightjar,Eurostopodus archboldi
Archer's Ground Robin,Dessonornis archeri
Archer's Lark,Heteromirafra archeri
Arctic Redpoll,Acanthis hornemanni
Arctic Tern,Sterna paradisaea
Arctic Warbler,Phylloscopus borealis
Arfak Astrapia,Astrapia nigra
Arfak Catbird,Ailuroedus arfakianus
Arfak Honeyeater,Melipotes gymnops
Aripuana Antwren,Herpsilochmus stotzi
Arizona Woodpecker,Leuconotopicus arizonae
Armenian Gull,Larus armenicus
Arnot's Chat,Myrmecocichla arnotti
Arrow-marked Babbler,Turdoides jardineii
Arrowhead Piculet,Picumnus minutissimus
Arrowhead Warbler,Setophaga pharetra
Ascension Crake,Mundia elpenor
Ascension Frigatebird,Fregata aquila
Ascension Night Heron,Nycticorax olsoni
Ash-breasted Antbird,Myrmoborus lugubris
Ash-breasted Sierra Finch,Geospizopsis plebejus
Ash-breasted Tit-Tyrant,Anairetes alpinus
Ash-browed Spinetail,Cranioleuca curtata
Ash-colored Cuckoo,Coccycua cinerea
Ash-colored Tapaculo,Myornis senilis
Ash-throated Antwren,Herpsilochmus parkeri
Ash-throated Casiornis,Casiornis fuscus
Ash-throated Crake,Mustelirallus albicollis
Ash-throated Flycatcher,Myiarchus cinerascens
Ash-throated Gnateater,Conopophaga peruviana
Ash-winged Antwren,Euchrepomis spodioptila
Ash's Lark,Mirafra ashi
Ashambu Laughingthrush,Montecincla meridionalis
Ashy Bulbul,Hemixos flavala
Ashy Cisticola,Cisticola cinereolus
Ashy Drongo,Dicrurus leucophaeus
Ashy Flowerpecker,Dicaeum vulneratum
Ashy Flycatcher,Fraseria caerulescens
Ashy Minivet,Pericrocotus divaricatus
Ashy Myzomela,Myzomela cineracea
Ashy Prinia,Prinia socialis
Ashy Robin,Heteromyias albispecularis
Ashy Starling,Lamprotornis unicolor
Ashy Storm Petrel,Hydrobates homochroa
Ashy Tailorbird,Orthotomus ruficeps
Ashy Thrush,Geokichla cinerea
Ashy Tit,Melaniparus cinerascens
Ashy Wood Pigeon,Columba pulchricollis
Ashy Woodpecker,Mulleripicus fulvus
Ashy Woodswallow,Artamus fuscus
Ashy-bellied White-eye,Zosterops citrinella
Ashy-breasted Flycatcher,Muscicapa randi
Ashy-crowned Sparrow-Lark,Eremopterix griseus
Ashy-faced Owl,Tyto glaucops
Ashy-fronted Bulbul,Pycnonotus cinereifrons
Ashy-headed Babbler,Pellorneum cinereiceps
Ashy-headed Goose,Chloephaga poliocephala
Ashy-headed Green Pigeon,Treron phayrei
Ashy-headed Greenlet,Hylophilus pectoralis
Ashy-headed Laughingthrush,Argya cinereifrons
Ashy-headed Tyrannulet,Phyllomyias cinereiceps
Ashy-tailed Swift,Chaetura andrei
Ashy-throated Chlorospingus,Chlorospingus canigularis
Ashy-throated Parrotbill,Suthora alphonsiana
Ashy-throated Warbler,Phylloscopus maculipennis
Asian Barred Owlet,Glaucidium cuculoides
Asian Brown Flycatcher,Muscicapa dauurica
Asian Crimson-winged Finch,Rhodopechys sanguineus
Asian Desert Warbler,Curruca nana
Asian Dowitcher,Limnodromus semipalmatus
Asian Emerald Cuckoo,Chrysococcyx maculatus
Asian Fairy-bluebird,Irena puella
Asian Glossy Starling,Aplonis panayensis
Asian Golden Weaver,Ploceus hypoxanthus
Asian Green Bee-eater,Merops orientalis
Asian House Martin,Delichon dasypus
Asian Koel,Eudynamys scolopaceus
Asian Openbill,Anastomus oscitans
Asian Palm Swift,Cypsiurus balasiensis
Asian Red-eyed Bulbul,Pycnonotus brunneus
Asian Rosy Finch,Leucosticte arctoa
Asian Short-toed Lark,Alaudala cheleensis
Asian Stubtail,Urosphena squameiceps
Asian Woolly-necked Stork,Ciconia episcopus
Asir Magpie,Pica asirensis
Assam Laughingthrush,Trochalopteron chrysopterum
Atherton Scrubwren,Sericornis keri
Athi Short-toed Lark,Alaudala athensis
Atitlan Grebe,Podilymbus gigas
Atiu Swiftlet,Aerodramus sawtelli
Atlantic Black-throated Trogon,Trogon chrysochloros
Atlantic Canary,Serinus canaria
Atlantic Petrel,Pterodroma incerta
Atlantic Puffin,Fratercula arctica
Atlantic Royal Flycatcher,Onychorhynchus swainsoni
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos
Atlas Pied Flycatcher,Ficedula speculigera
Atlas Wheatear,Oenanthe seebohmi
Atoll Fruit Dove,Ptilinopus coralensis
Atoll Starling,Aplonis feadensis
Atuen Antpitta,Grallaria atuensis
Auckland Rail,Lewinia muelleri
Auckland Shag,Leucocarbo colensoi
Auckland Teal,Anas aucklandica
Audouin's Gull,Ichthyaetus audouinii
Audubon's Oriole,Icterus graduacauda
Audubon's Shearwater,Puffinus lherminieri
Audubon's Warbler,Setophaga auduboni
Augur Buzzard,Buteo augur
Austen's Brown Hornbill,Anorrhinus austeni
Austral Blackbird,Curaeus curaeus
Austral Canastero,Asthenes anthoides
Austral Negrito,Lessonia rufa
Austral Parakeet,Enicognathus ferrugineus
Austral Pygmy Owl,Glaucidium nana
Austral Rail,Rallus antarcticus
Austral Thrush,Turdus falcklandii
Australasian Bittern,Botaurus poiciloptilus
Australasian Darter,Anhinga novaehollandiae
Australasian Figbird,Sphecotheres vieilloti
Australasian Gannet,Morus serrator
Australasian Grebe,Tachybaptus novaehollandiae
Australasian Shoveler,Spatula rhynchotis
Australasian Swamphen,Porphyrio melanotus
Australian Boobook,Ninox boobook
Australian Brushturkey,Alectura lathami
Australian Bustard,Ardeotis australis
Australian Crake,Porzana fluminea
Australian Golden Whistler,Pachycephala pectoralis
Australian Hobby,Falco longipennis
Australian King Parrot,Alisterus scapularis
Australian Logrunner,Orthonyx temminckii
Australian Magpie,Gymnorhina tibicen
Australian Masked Owl,Tyto novaehollandiae
Australian Owlet-nightjar,Aegotheles cristatus
Australian Painted-snipe,Rostratula australis
Australian Pelican,Pelecanus conspicillatus
Australian Pied Cormorant,Phalacrocorax varius
Australian Pipit,Anthus australis
Australian Pratincole,Stiltia isabella
Australian Raven,Corvus coronoides
Australian Reed Warbler,Acrocephalus australis
Australian Ringneck,Barnardius zonarius
Australian Rufous Fantail,Rhipidura rufifrons
Australian Shelduck,Tadorna tadornoides
Australian Swiftlet,Aerodramus terraereginae
Australian Tern,Gelochelidon macrotarsa
Australian White Ibis,Threskiornis molucca
Australian Zebra Finch,Taeniopygia castanotis
Ayacucho Antpitta,Grallaria ayacuchensis
Ayacucho Thistletail,Asthenes ayacuchensis
Ayeyarwady Bulbul,Pycnonotus blanfordi
Ayres's Hawk-Eagle,Hieraaetus ayresii
Azara's Spinetail,Synallaxis azarae
Azores Bullfinch,Pyrrhula murina
Azores Chaffinch,Fringilla moreletti
Aztec Rail,Rallus tenuirostris
Aztec Thrush,Ridgwayia pinicola
Azuero Dove,Leptotila battyi
Azure Dollarbird,Eurystomus azureus
Azure Gallinule,Porphyrio flavirostris
Azure Jay,Cyanocorax caeruleus
Azure Kingfisher,Ceyx azureus
Azure Tit,Cyanistes cyanus
Azure-breasted Pitta,Pitta steerii
Azure-crested Flycatcher,Myiagra azureocapilla
Azure-crowned Hummingbird,Saucerottia cyanocephala
Azure-hooded Jay,Cyanolyca cucullata
Azure-naped Jay,Cyanocorax heilprini
Azure-rumped Parrot,Tanygnathus sumatranus
Azure-rumped Tanager,Poecilostreptus cabanisi
Azure-shouldered Tanager,Thraupis cyanoptera
Azure-winged Magpie,Cyanopica cyanus
Babbling Starling,Neocichla gutturalis
Bacan Myzomela,Myzomela batjanensis
Bachman's Sparrow,Peucaea aestivalis
Bachman's Warbler,Vermivora bachmanii
Baer's Pochard,Aythya baeri
Baglafecht Weaver,Ploceus baglafecht
Bagobo Babbler,Leonardina woodi
Bahama Mockingbird,Mimus gundlachii
Bahama Nuthatch,Sitta insularis
Bahama Oriole,Icterus northropi
Bahama Swallow,Tachycineta cyaneoviridis
Bahama Warbler,Setophaga flavescens
Bahama Woodstar,Nesophlox evelynae
Bahama Yellowthroat,Geothlypis rostrata
Bahia Antwren,Herpsilochmus pileatus
Bahia Spinetail,Synallaxis cinerea
Bahia Tapaculo,Eleoscytalopus psychopompus
Bahia Tyrannulet,Phylloscartes beckeri
Bahia Wagtail-Tyrant,Stigmatura bahiae
Baikal Bush Warbler,Locustella davidi
Baikal Teal,Sibirionetta formosa
Baillon's Crake,Zapornia pusilla
Baird's Flycatcher,Myiodynastes bairdii
Baird's Junco,Junco bairdi
Baird's Sandpiper,Calidris bairdii
Baird's Sparrow,Centronyx bairdii
Baird's Trogon,Trogon bairdii
Baja Pygmy Owl,Glaucidium hoskinsii
Bald Eagle,Haliaeetus leucocephalus
Bald Parrot,Pyrilia aurantiocephala
Balearic Shearwater,Puffinus mauretanicus
Balearic Warbler,Curruca balearica
Bali Myna,Leucopsar rothschildi
Balicassiao,Dicrurus balicassius
Baliem Whistler,Pachycephala balim
Balsas Screech Owl,Megascops seductus
Baltimore Oriole,Icterus galbula
Bamboo Antshrike,Cymbilaimus sanctaemariae
Bamboo Foliage-gleaner,Anabazenops dorsalis
Bamboo Warbler,Locustella alfredi
Bamboo Woodpecker,Gecinulus viridis
Bamenda Apalis,Apalis bamendae
Bananal Antbird,Cercomacra ferdinandi
Bananaquit,Coereba flaveola
Banasura Laughingthrush,Montecincla jerdoni
Band-backed Wren,Campylorhynchus zonatus
Band-bellied Crake,Zapornia paykullii
Band-bellied Owl,Pulsatrix melanota
Band-rumped Storm Petrel,Hydrobates castro
Band-rumped Swift,Chaetura spinicaudus
Band-tailed Antbird,Hypocnemoides maculicauda
Band-tailed Antshrike,Thamnophilus melanothorax
Band-tailed Antwren,Myrmotherula urosticta
Band-tailed Barbthroat,Threnetes ruckeri
Band-tailed Cacique,Cacicus latirostris
Band-tailed Earthcreeper,Ochetorhynchus phoenicurus
Band-tailed Fruiteater,Pipreola intermedia
Band-tailed Guan,Penelope argyrotis
Band-tailed Hornero,Furnarius figulus
Band-tailed Manakin,Pipra fasciicauda
Band-tailed Nighthawk,Nyctiprogne leucopyga
Band-tailed Pigeon,Patagioenas fasciata
Band-tailed Seedeater,Catamenia analis
Band-tailed Sierra Finch,Rhopospina alaudina
Band-winged Nightjar,Systellura longirostris
Banda Myzomela,Myzomela boiei
Banda Sea Pitta,Pitta vigorsii
Banded Antbird,Dichrozona cincta
Banded Barbet,Lybius undatus
Banded Bay Cuckoo,Cacomantis sonneratii
Banded Broadbill,Eurylaimus javanicus
Banded Cotinga,Cotinga maculata
Banded Fruit Dove,Ptilinopus cinctus
Banded Green Sunbird,Anthreptes rubritorques
Banded Ground Cuckoo,Neomorphus radiolosus
Banded Honeyeater,Cissomela pectoralis
Banded Kestrel,Falco zoniventris
Banded Kingfisher,Lacedo pulchella
Banded Lapwing,Vanellus tricolor
Banded Martin,Neophedina cincta
Banded Parisoma,Curruca boehmi
Banded Prinia,Prinia bairdii
Banded Quail,Philortyx fasciatus
Banded Stilt,Cladorhynchus leucocephalus
Banded Wattle-eye,Platysteira laticincta
Banded Whiteface,Aphelocephala nigricincta
Banded Woodpecker,Chrysophlegma miniaceum
Banded Wren,Thryophilus pleurostictus
Banded Yellow Robin,Gennaeodryas placens
Banggai Crow,Corvus unicolor
Banggai Fruit Dove,Ptilinopus subgularis
Banggai Golden Bulbul,Hypsipetes harterti
Banggai Jungle Flycatcher,Cyornis pelingensis
Banggai Scops Owl,Otus mendeni
Bangwa Forest Warbler,Bradypterus bangwaensis
Bank Cormorant,Phalacrocorax neglectus
Bank Myna,Acridotheres ginginianus
Bannerman's Shearwater,Puffinus bannermani
Bannerman's Sunbird,Cyanomitra bannermani
Bannerman's Turaco,Tauraco bannermani
Bannerman's Weaver,Ploceus bannermani
Bar-backed Partridge,Arborophila brunneopectus
Bar-bellied Cuckooshrike,Coracina striata
Bar-bellied Pitta,Hydrornis elliotii
Bar-bellied Woodcreeper,Hylexetastes stresemanni
Bar-bellied Woodpecker,Veniliornis nigriceps
Bar-breasted Firefinch,Lagonosticta rufopicta
Bar-breasted Honeyeater,Ramsayornis fasciatus
Bar-breasted Piculet,Picumnus aurifrons
Bar-crested Antshrike,Thamnophilus multistriatus
Bar-headed Goose,Anser indicus
Bar-shouldered Dove,Geopelia humeralis
Bar-tailed Cuckoo-Dove,Macropygia nigrirostris
Bar-tailed Godwit,Limosa lapponica
Bar-tailed Lark,Ammomanes cinctura
Bar-tailed Treecreeper,Certhia himalayana
Bar-tailed Trogon,Apaloderma vittatum
Bar-throated Apalis,Apalis thoracica
Bar-throated Minla,Actinodura strigula
Bar-winged Flycatcher-shrike,Hemipus picatus
Bar-winged Oriole,Icterus maculialatus
Bar-winged Prinia,Prinia familiaris
Bar-winged Rail,Hypotaenidia poeciloptera
Bar-winged Weaver,Ploceus angolensis
Bar-winged Wood Wren,Henicorhina leucoptera
Bar-winged Wren-Babbler,Spelaeornis troglodytoides
Barau's Petrel,Pterodroma baraui
Barbados Bullfinch,Loxigilla barbadensis
Barbary Partridge,Alectoris barbara
Barbuda Warbler,Setophaga subita
Bare-cheeked Babbler,Turdoides gymnogenys
Bare-cheeked Trogon,Apaloderma aequatoriale
Bare-crowned Antbird,Gymnocichla nudiceps
Bare-eyed Antbird,Rhegmatorhina gymnops
Bare-eyed Myna,Streptocitta albertinae
Bare-eyed Pigeon,Patagioenas corensis
Bare-eyed Rail,Gymnocrex plumbeiventris
Bare-eyed Thrush,Turdus tephronotus
Bare-eyed White-eye,Zosterops superciliosus
Bare-faced Bulbul,Nok hualon
Bare-faced Curassow,Crax fasciolata
Bare-faced Go-away-bird,Crinifer personatus
Bare-faced Ground Dove,Metriopelia ceciliae
Bare-faced Ibis,Phimosus infuscatus
Bare-headed Laughingthrush,Melanocichla calva
Bare-legged Owl,Margarobyas lawrencii
Bare-legged Swiftlet,Aerodramus nuditarsus
Bare-necked Fruitcrow,Gymnoderus foetidus
Bare-necked Umbrellabird,Cephalopterus glabricollis
Bare-shanked Screech Owl,Megascops clarkii
Bare-throated Bellbird,Procnias nudicollis
Bare-throated Tiger Heron,Tigrisoma mexicanum
Bare-throated Whistler,Pachycephala nudigula
Barka Indigobird,Vidua larvaticola
Barking Imperial Pigeon,Ducula latrans
Barking Owl,Ninox connivens
Barlow's Lark,Calendulauda barlowi
Barn Swallow,Hirundo rustica
Barnacle Goose,Branta leucopsis
Barolo Shearwater,Puffinus baroli
Barratt's Warbler,Bradypterus barratti
